dates,N_tests,N_student_tests,N_employee_tests,N_cases
2020-08-17,615,564,51,0
2020-08-18,1208,1194,14,2
2020-08-19,889,859,30,1
2020-08-20,1083,1042,41,1
2020-08-21,761,705,56,0
2020-08-22,0,0,NA,0
2020-08-23,1126,1126,0,0
2020-08-24,1475,1468,7,1
2020-08-25,2025,1992,33,2
2020-08-26,1255,1183,72,0
2020-08-27,1689,1614,75,1
2020-08-28,1646,1623,23,9
2020-08-29,850,846,4,2
2020-08-30,28,28,NA,1
2020-08-31,1484,1433,51,5
2020-09-01,1213,1125,88,7
2020-09-02,348,317,31,12
2020-09-03,4621,4213,408,12
2020-09-04,4954,4094,860,14
2020-09-05,2840,2772,68,6
2020-09-06,2893,2855,38,5
2020-09-07,5081,4409,672,6
2020-09-08,4748,4223,525,3
2020-09-09,3778,3778,98,13
2020-09-10,5145,4663,482,6
2020-09-11,5135,4280,855,4
2020-09-12,2793,2715,78,3
2020-09-13,2924,2881,43,0
2020-09-14,5987,4915,1072,0
2020-09-15,5231,4229,1002,0
2020-09-16,4981,3744,1237,1
2020-09-17,5531,4567,964,0
2020-09-18,5501,4374,1127,1
2020-09-19,2717,2624,93,0
2020-09-20,2816,2746,70,1
2020-09-21,5973,4873,1100,2
2020-09-22,5286,4169,1117,1
2020-09-23,5239,3909,1330,1
2020-09-24,5893,4742,1151,0
2020-09-25,5777,4546,1231,1
2020-09-26,2677,2572,105,1
2020-09-27,3107,3025,82,0
2020-09-28,6290,5055,1235,1
2020-09-29,5716,4479,1237,1
