Number of tests,16-Dec,"2,527"
Number of tests,17-Dec,"2,060"
Number of tests,18-Dec,"3,750"
Number of tests,19-Dec,163
Number of tests,20-Dec,62
Number of tests,21-Dec,"2,927"
Number of tests,22-Dec,"2,720"
Number of student tests,16-Dec,"1,098"
Number of student tests,17-Dec,"1,289"
Number of student tests,18-Dec,"2,130"
Number of student tests,19-Dec,99
Number of student tests,20-Dec,16
Number of student tests,21-Dec,"1,529"
Number of student tests,22-Dec,"1,020"
Number of employee tests,16-Dec,"1,429"
Number of employee tests,17-Dec,771
Number of employee tests,18-Dec,"1,620"
Number of employee tests,19-Dec,64
Number of employee tests,20-Dec,46
Number of employee tests,21-Dec,"1,398"
Number of employee tests,22-Dec,"1,700"
"New Confirmed Positive, Total",16-Dec,5
"New Confirmed Positive, Total",17-Dec,4
"New Confirmed Positive, Total",18-Dec,4
"New Confirmed Positive, Total",19-Dec,5
"New Confirmed Positive, Total",20-Dec,3
"New Confirmed Positive, Total",21-Dec,3
"New Confirmed Positive, Total",22-Dec,2
Number of tests,Total,"14,209"
Number of student tests,Total,"7,181"
Number of employee tests,Total,"7,028"
New confirmed positives,Total,26
