Number of tests,05/07/2021,"4,432"
Number of tests,05/08/2021,"3,243"
Number of tests,05/09/2021,"3,764"
Number of tests,05/10/2021,"4,656"
Number of tests,05/11/2021,"4,099"
Number of tests,05/12/2021,"3,738"
Number of tests,05/13/2021,"4,101"
Number of student tests,05/07/2021,"3,862"
Number of student tests,05/08/2021,"3,152"
Number of student tests,05/09/2021,"3,707"
Number of student tests,05/10/2021,"3,827"
Number of student tests,05/11/2021,"3,580"
Number of student tests,05/12/2021,"3,228"
Number of student tests,05/13/2021,"3,402"
Number of employee tests,05/07/2021,570
Number of employee tests,05/08/2021,91
Number of employee tests,05/09/2021,57
Number of employee tests,05/10/2021,829
Number of employee tests,05/11/2021,519
Number of employee tests,05/12/2021,510
Number of employee tests,05/13/2021,699
"New Confirmed Positive, Total",05/07/2021,1
"New Confirmed Positive, Total",05/08/2021,0
"New Confirmed Positive, Total",05/09/2021,0
"New Confirmed Positive, Total",05/10/2021,1
"New Confirmed Positive, Total",05/11/2021,0
"New Confirmed Positive, Total",05/12/2021,1
"New Confirmed Positive, Total",05/13/2021,0
Number of tests,Total,"28,033"
Number of student tests,Total,"24,758"
Number of employee tests,Total,"3,275"
New confirmed positives,Total,3
