Number of tests,21-Sep,"5,973"
Number of tests,22-Sep,"5,286"
Number of tests,23-Sep,"5,227"
Number of tests,24-Sep,"5,884"
Number of tests,25-Sep,"5,772"
Number of tests,26-Sep,"2,677"
Number of tests,27-Sep,"3,107"
Number of student tests,21-Sep,"4,873"
Number of student tests,22-Sep,"4,169"
Number of student tests,23-Sep,"3,907"
Number of student tests,24-Sep,"4,741"
Number of student tests,25-Sep,"4,545"
Number of student tests,26-Sep,"2,572"
Number of student tests,27-Sep,"3,025"
Number of employee tests,21-Sep,"1,100"
Number of employee tests,22-Sep,"1,117"
Number of employee tests,23-Sep,"1,320"
Number of employee tests,24-Sep,"1,143"
Number of employee tests,25-Sep,"1,227"
Number of employee tests,26-Sep,105
Number of employee tests,27-Sep,82
"New Confirmed Positive, Total",21-Sep,2
"New Confirmed Positive, Total",22-Sep,1
"New Confirmed Positive, Total",23-Sep,1
"New Confirmed Positive, Total",24-Sep,0
"New Confirmed Positive, Total",25-Sep,1
"New Confirmed Positive, Total",26-Sep,1
"New Confirmed Positive, Total",27-Sep,0
Number of tests,Total,"33,926"
Number of student tests,Total,"27,832"
Number of employee tests,Total,"6,094"
"New Confirmed Positive, Total",Total,6
