Number of tests,9/25/20,"5,777"
Number of tests,9/26/20,"2,677"
Number of tests,9/27/20,"3,107"
Number of tests,9/28/20,"6,290"
Number of tests,9/29/20,"5,716"
Number of tests,9/30/20,"5,500"
Number of tests,10/1/20,"5,903"
Number of student tests,9/25/20,"4,546"
Number of student tests,9/26/20,"2,572"
Number of student tests,9/27/20,"3,025"
Number of student tests,9/28/20,"5,055"
Number of student tests,9/29/20,"4,479"
Number of student tests,9/30/20,"4,104"
Number of student tests,10/1/20,"4,787"
Number of employee tests,9/25/20,"1,231"
Number of employee tests,9/26/20,105
Number of employee tests,9/27/20,82
Number of employee tests,9/28/20,"1,235"
Number of employee tests,9/29/20,"1,237"
Number of employee tests,9/30/20,"1,396"
Number of employee tests,10/1/20,"1,116"
"New Confirmed Positive, Total",9/25/20,1
"New Confirmed Positive, Total",9/26/20,1
"New Confirmed Positive, Total",9/27/20,0
"New Confirmed Positive, Total",9/28/20,1
"New Confirmed Positive, Total",9/29/20,1
"New Confirmed Positive, Total",9/30/20,0
"New Confirmed Positive, Total",10/1/20,0
Number of tests,Total,"34,970"
Number of student tests,Total,"28,568"
Number of employee tests,Total,"6,402"
"New Confirmed Positive, Total",Total,4
