Number of tests,18-Nov,"4,973"
Number of tests,19-Nov,"5,132"
Number of tests,20-Nov,"5,214"
Number of tests,21-Nov,"2,384"
Number of tests,22-Nov,"2,129"
Number of tests,23-Nov,"4,373"
Number of tests,24-Nov,"3,830"
Number of student tests,18-Nov,"3,509"
Number of student tests,19-Nov,"3,921"
Number of student tests,20-Nov,"3,739"
Number of student tests,21-Nov,"2,218"
Number of student tests,22-Nov,"1,979"
Number of student tests,23-Nov,"2,885"
Number of student tests,24-Nov,"2,297"
Number of employee tests,18-Nov,"1,464"
Number of employee tests,19-Nov,"1,211"
Number of employee tests,20-Nov,"1,475"
Number of employee tests,21-Nov,166
Number of employee tests,22-Nov,150
Number of employee tests,23-Nov,"1,488"
Number of employee tests,24-Nov,"1,533"
"New Confirmed Positive, Total",18-Nov,0
"New Confirmed Positive, Total",19-Nov,2
"New Confirmed Positive, Total",20-Nov,11
"New Confirmed Positive, Total",21-Nov,2
"New Confirmed Positive, Total",22-Nov,2
"New Confirmed Positive, Total",23-Nov,4
"New Confirmed Positive, Total",24-Nov,3
Number of tests,Total,"28,035"
Number of student tests,Total,"20,548"
Number of employee tests,Total,"7,487"
New confirmed positives,Total,24
